data_pobrania,kod,nazwa,upvotes,mentions,rank,mention_change,source_url
2026-08-27T01:35:59+02:00,NVDA,NVIDIA,5331,1499,1,1158,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,META,Meta Platforms (Facebook),1465,257,2,224,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,SPY,SPDR S&P 500 ETF Trust,487,242,3,71,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,MU,Micron Technology,366,132,4,28,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,SNDK,Sandisk,338,119,5,31,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,QQQ,Invesco QQQ ETF,246,101,6,33,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,NBIS,Nebius Group,213,100,7,71,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,CRM,Salesforce,317,96,8,81,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,INTC,Intel,74,62,9,45,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,CRWD,CrowdStrike,105,56,10,50,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,AVGO,Broadcom,109,55,11,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,MRVL,Marvell Technology Group,142,50,12,27,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,DKS,Dick's Sporting Goods,89,49,13,-51,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,AMD,AMD,103,47,14,18,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,RDDT,Reddit,625,46,15,12,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,SPCX,SpaceX,198,45,16,17,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,DTE,DTE Energy,126,43,17,-3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,GOOG,Alphabet (Google),75,41,18,17,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,GOOGL,Alphabet (Google),80,41,19,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,ASTS,AST SpaceMobile,535,40,20,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,MRNA,Moderna,73,38,21,-19,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,MSFT,Microsoft,65,36,22,13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,ANF,Abercrombie & Fitch,49,35,23,34,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,VOO,Vanguard S&P 500 ETF,129,33,24,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,INTU,Intuit,47,32,25,-16,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,AM,Antero Midstream,64,31,26,15,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,AAPL,Apple,46,30,27,10,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,IREN,Iris Energy,52,29,28,20,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,NOW,ServiceNow,143,28,29,18,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-27T01:35:59+02:00,WEN,Wendy’s Company,273,28,30,19,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
