data_pobrania,kod,nazwa,upvotes,mentions,rank,mention_change,source_url
2026-07-22T00:01:27+02:00,MU,Micron Technology,2117,465,1,219,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,SPY,SPDR S&P 500 ETF Trust,906,287,2,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,MSFT,Microsoft,3166,161,3,-18,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,SPCX,SpaceX,422,155,4,-12,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,NBIS,Nebius Group,736,122,5,72,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,SNDK,Sandisk,470,111,6,37,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,QQQ,Invesco QQQ ETF,330,111,7,27,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,NVDA,NVIDIA,232,94,8,30,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,SMCI,Supermicro,302,77,9,69,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,GOOG,Alphabet (Google),2808,75,10,22,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,DTE,DTE Energy,549,60,11,-6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,RKLB,Rocket Lab USA,162,56,12,12,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,ASTS,AST SpaceMobile,135,54,13,16,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,TSLA,Tesla,546,51,14,-26,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,GOOGL,Alphabet (Google),150,50,15,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,IBM,IBM,98,43,16,11,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,NFLX,Netflix,121,43,17,23,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,ORCL,Oracle,2680,41,18,-30,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,AMD,AMD,283,41,19,-6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,AMZN,Amazon,2636,37,20,23,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,INTC,Intel,55,31,21,12,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,AMC,AMC Entertainment,143,30,22,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,META,Meta Platforms (Facebook),2602,27,23,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,IP,International Paper,187,27,24,20,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,ONDS,Ondas Holdings,61,25,25,15,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,VOO,Vanguard S&P 500 ETF,68,25,26,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,IREN,Iris Energy,77,24,27,-13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,NOW,ServiceNow,60,24,28,14,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,EU,enCore Energy,656,22,29,11,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,AM,Antero Midstream,237,21,30,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,IT,Gartner,58,20,31,8,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,HOOD,Robinhood,394,19,32,10,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,27,16,33,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,SMH,VanEck Vectors ETF Trust - VanEck Vectors Semiconductor ETF,30,16,34,7,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,CRWV,CoreWeave,44,15,35,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,OKLO,Oklo,47,15,36,11,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,USO,United States Commodity Funds LLC - United States Oil Fund,28,15,37,-13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,IBKR,Interactive Brokers,40,13,38,7,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,YOU,CLEAR Secure,145,12,39,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,GM,General Motors,28,12,40,11,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,BULL,Webull,35,11,41,10,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,IQ,iQIYI,21,11,42,-3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,AAPL,Apple,44,11,43,-21,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,API,Agora.io,39,10,44,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,UTZ,Utz Brands,41,10,45,10,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,ACHR,Archer Aviation,64,10,46,2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,MSTR,MicroStrategy,25,10,47,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,BE,Bloom Energy,30,10,48,-1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,MRVL,Marvell Technology Group,132,10,49,-6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,ES,Eversource Energy,12,10,50,-18,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,ASIC,Ategrity Specialty Insurance Company,154,9,51,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,WBD,Warner Bros. Discovery,87,9,52,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,NOK,Nokia,28,9,53,2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,DELL,Dell,23,9,54,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,WEN,Wendy’s Company,11,9,55,-8,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,AVGO,Broadcom,19,9,56,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,LLY,Eli Lilly,16,9,57,8,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,RDDT,Reddit,34,8,58,-6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,LASE,Laser Photonics,22,8,59,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,PUMP,ProPetro,64,8,60,7,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,SOXX,BlackRock Institutional Trust Company N.A. - BTC iShares PHLX Semicond,-6,8,61,-7,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,CC,Chemours,17,8,62,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,JPM,JPMorgan Chase,43,8,63,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,WDC,Western Digital,15,8,64,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,FIG,Figma,12,7,65,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,VIVK,Vivakor,21,7,66,6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,BATL,Battalion Oil,16,7,67,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,APLD,Applied Blockchain,40,7,68,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,UP,Wheels Up,21,7,69,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,OR,Osisko Gold Royalties,41,7,70,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,ALL,Allstate,35,7,71,-5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,TIL,Instil Bio,18,6,72,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,GME,GameStop,117,6,73,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,TQQQ,ProShares Trust - ProShares UltraPro QQQ,15,6,74,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,UI,Ubiquiti,8,6,75,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,GO,Grocery Outlet,17,6,76,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-22T00:01:27+02:00,TPL,Texas Pacific Land Trust,47,6,77,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
