data_pobrania,kod,nazwa,upvotes,mentions,rank,mention_change,source_url
2026-07-07T00:01:22+02:00,MU,Micron Technology,2035,482,1,366,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,SPY,SPDR S&P 500 ETF Trust,949,274,2,227,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,MSFT,Microsoft,687,210,3,177,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,WEN,Wendy’s Company,522,118,4,67,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,NVDA,NVIDIA,561,117,5,87,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,SNDK,Sandisk,541,117,6,91,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,TSLA,Tesla,214,96,7,83,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,QQQ,Invesco QQQ ETF,210,80,8,45,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,AMD,AMD,348,77,9,61,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,SPCX,SpaceX,1691,77,10,60,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,META,Meta Platforms (Facebook),251,66,11,35,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,NBIS,Nebius Group,158,54,12,30,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,RDDT,Reddit,219,52,13,38,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,DTE,DTE Energy,192,50,14,28,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,MSTR,MicroStrategy,657,47,15,36,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,RKLB,Rocket Lab USA,151,45,16,21,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,AAPL,Apple,110,42,17,31,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-07-07T00:01:22+02:00,ASTS,AST SpaceMobile,103,37,18,-21,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
