data_pobrania,kod,nazwa,upvotes,mentions,rank,mention_change,source_url
2026-08-29T00:42:37+02:00,NVDA,NVIDIA,1324,384,1,-592,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SPY,SPDR S&P 500 ETF Trust,696,244,2,13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,MRVL,Marvell Technology Group,711,206,3,-293,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,MU,Micron Technology,382,163,4,-249,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,IREN,Iris Energy,553,142,5,-94,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,DTE,DTE Energy,489,90,6,33,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,QQQ,Invesco QQQ ETF,130,64,7,-17,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,META,Meta Platforms (Facebook),601,60,8,-20,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SNDK,Sandisk,164,59,9,-78,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,AMZN,Amazon,577,52,10,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,NBIS,Nebius Group,261,51,11,-23,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,MSFT,Microsoft,567,50,12,-36,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,GOOG,Alphabet (Google),125,47,13,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,RKLB,Rocket Lab USA,684,40,14,27,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,RDDT,Reddit,77,39,15,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,PYPL,PayPal,82,35,16,34,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,AAPL,Apple,546,34,17,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ASTS,AST SpaceMobile,422,33,18,7,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,NOW,ServiceNow,70,33,19,-8,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,CRM,Salesforce,58,32,20,-71,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,RBRK,Rubrik,25,30,21,21,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,AM,Antero Midstream,291,30,22,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,AVGO,Broadcom,108,30,23,-52,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ARR,ARMOUR Residential REIT,153,29,24,15,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,TSLA,Tesla,51,27,25,-5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SPCX,SpaceX,46,26,26,-3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,PLTR,Palantir,72,26,27,-63,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,GOOGL,Alphabet (Google),523,23,28,-15,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,AMD,AMD,358,23,29,-38,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,APP,AppLovin,3,22,30,19,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,VOO,Vanguard S&P 500 ETF,528,22,31,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,NKE,Nike,32,21,32,10,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,GLD,SSgA SPDR Gold Shares,54,19,33,16,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,INTC,Intel,36,19,34,-5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,HTZ,Hertz,20,18,35,13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,26,18,36,-16,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,RR,Richtech Robotics,145,17,37,8,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,YOU,CLEAR Secure,99,17,38,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SOFI,SoFi,22,16,39,13,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SLS,Sellas Life Sciences,29,16,40,-12,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,CRWD,CrowdStrike,15,14,41,-33,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,TTWO,Take 2 Interactive,16,14,42,-5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,TLT,BlackRock Institutional Trust Company N.A. - BTC iShares 20+ Year Trea,56,13,43,12,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ET,Energy Transfer Partners,25,13,44,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,IT,Gartner,30,13,45,-12,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,IONQ,IonQ,879,12,46,11,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,MRNA,Moderna,21,12,47,-6,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,WMT,Walmart,21,12,48,-2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,AFRM,Affirm,23,11,49,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SNOW,Snowflake,35,11,50,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,MSTR,MicroStrategy,16,10,51,-23,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,SMH,VanEck Vectors ETF Trust - VanEck Vectors Semiconductor ETF,19,10,52,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,WEN,Wendy’s Company,16,10,53,-24,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ALL,Allstate,38,10,54,5,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,CRWV,CoreWeave,17,9,55,-2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,FNGR,FingerMotion,22,9,56,9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,CC,Chemours,20,9,57,-2,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,IQ,iQIYI,10,9,58,-3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,BLSH,Bullish,10,8,59,7,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,OKLO,Oklo,41,8,60,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,APLD,Applied Blockchain,17,8,61,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,HOOD,Robinhood,18,8,62,-1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,VT,"Vanguard Group, Inc. - Vanguard Total World Stock ETF",490,8,63,-9,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ESTC,Elastic NV,11,8,64,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,GT,Goodyear,11,8,65,7,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ES,Eversource Energy,13,8,66,1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ORCL,Oracle,18,8,67,-4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,DC,Dakota Gold,13,7,68,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,FOR,Forestar Group,34,7,69,3,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,IGV,BlackRock Institutional Trust Company N.A. - iShares Expanded Tech-Sof,12,7,70,-1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,BE,Bloom Energy,8,7,71,-16,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,LULU,lululemon athletica,12,7,72,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ON,ON Semiconductor,128,7,73,-1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,GAP,Gap Inc.,7,6,74,-18,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,LINK,Interlink Electronics,7,6,75,0,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ONDS,Ondas Holdings,8,6,76,-1,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
2026-08-29T00:42:37+02:00,ANY,Sphere 3D,16,6,77,4,https://feargreedmeter.com/top-100-most-popular-meme-stocks-today
